"bates_number","processed"
"HOUSE_OVERSIGHT_026442",false
"HOUSE_OVERSIGHT_026444",false
"HOUSE_OVERSIGHT_026445",false
"HOUSE_OVERSIGHT_026447",false
"HOUSE_OVERSIGHT_026448",false
"HOUSE_OVERSIGHT_026449",false
"HOUSE_OVERSIGHT_026450",false
"HOUSE_OVERSIGHT_026451",false
"HOUSE_OVERSIGHT_026455",false
"HOUSE_OVERSIGHT_026459",false
"HOUSE_OVERSIGHT_026460",false
"HOUSE_OVERSIGHT_026461",false
"HOUSE_OVERSIGHT_026463",false
"HOUSE_OVERSIGHT_026466",false
"HOUSE_OVERSIGHT_026469",false
"HOUSE_OVERSIGHT_026473",false
"HOUSE_OVERSIGHT_026474",false
"HOUSE_OVERSIGHT_026475",false
"HOUSE_OVERSIGHT_026477",false
"HOUSE_OVERSIGHT_026484",false
"HOUSE_OVERSIGHT_026491",false
"HOUSE_OVERSIGHT_026505",false
"HOUSE_OVERSIGHT_026507",false
"HOUSE_OVERSIGHT_026508",false
"HOUSE_OVERSIGHT_026512",false
"HOUSE_OVERSIGHT_026514",false
"HOUSE_OVERSIGHT_026515",false
"HOUSE_OVERSIGHT_026517",false
"HOUSE_OVERSIGHT_026519",false
"HOUSE_OVERSIGHT_026547",false
"HOUSE_OVERSIGHT_026548",false
"HOUSE_OVERSIGHT_026551",false
"HOUSE_OVERSIGHT_026563",false
"HOUSE_OVERSIGHT_026567",false
"HOUSE_OVERSIGHT_026569",false
"HOUSE_OVERSIGHT_026571",false
"HOUSE_OVERSIGHT_026601",false
"HOUSE_OVERSIGHT_026603",false
"HOUSE_OVERSIGHT_026605",false
"HOUSE_OVERSIGHT_026607",false
"HOUSE_OVERSIGHT_026612",false
"HOUSE_OVERSIGHT_026618",false
"HOUSE_OVERSIGHT_026619",false
"HOUSE_OVERSIGHT_026620",false
"HOUSE_OVERSIGHT_026623",false
"HOUSE_OVERSIGHT_026625",false
"HOUSE_OVERSIGHT_026626",false
"HOUSE_OVERSIGHT_026630",false
"HOUSE_OVERSIGHT_026635",false
"HOUSE_OVERSIGHT_026637",false
"HOUSE_OVERSIGHT_026650",false
"HOUSE_OVERSIGHT_026651",false
"HOUSE_OVERSIGHT_026659",false
"HOUSE_OVERSIGHT_026661",false
"HOUSE_OVERSIGHT_026662",false
"HOUSE_OVERSIGHT_026663",false
"HOUSE_OVERSIGHT_026672",false
"HOUSE_OVERSIGHT_026673",false
"HOUSE_OVERSIGHT_026674",false
"HOUSE_OVERSIGHT_026675",false
"HOUSE_OVERSIGHT_026677",false
"HOUSE_OVERSIGHT_026745",false
"HOUSE_OVERSIGHT_026751",false
"HOUSE_OVERSIGHT_026754",false
"HOUSE_OVERSIGHT_026764",false
"HOUSE_OVERSIGHT_026768",false
"HOUSE_OVERSIGHT_026777",false
"HOUSE_OVERSIGHT_026778",false
"HOUSE_OVERSIGHT_026786",false
"HOUSE_OVERSIGHT_026787",false
"HOUSE_OVERSIGHT_026788",false
"HOUSE_OVERSIGHT_026829",false
"HOUSE_OVERSIGHT_026834",false
"HOUSE_OVERSIGHT_026835",false
"HOUSE_OVERSIGHT_026840",false
"HOUSE_OVERSIGHT_026849",false
"HOUSE_OVERSIGHT_026852",false
"HOUSE_OVERSIGHT_026866",false
"HOUSE_OVERSIGHT_026893",false
"HOUSE_OVERSIGHT_026924",false
"HOUSE_OVERSIGHT_026934",false
